timestamp,sensor_id,event
2026-01-01 03:35:01,MOTION_BATH,ON
2026-01-01 06:55:07,PRESSURE_BED,ON
2026-01-01 07:00:47,MOTION_BEDROOM,ON
2026-01-01 07:03:15,MOTION_HALL,ON
2026-01-01 07:21:01,MOTION_KITCHEN,ON
2026-01-01 07:23:43,MOTION_KITCHEN,ON
2026-01-01 07:24:47,MOTION_KITCHEN,ON
2026-01-01 07:27:13,DOOR_FRIDGE,OPEN
2026-01-01 07:37:05,MOTION_KITCHEN,ON
2026-01-01 07:38:27,MOTION_KITCHEN,ON
2026-01-01 08:00:32,MOTION_KITCHEN,ON
2026-01-01 08:54:01,MOTION_BATH,ON
2026-01-01 09:07:12,MOTION_BATH,ON
2026-01-01 09:10:24,MOTION_LIVING,ON
2026-01-01 09:27:54,MOTION_LIVING,ON
2026-01-01 09:49:27,MOTION_LIVING,ON
2026-01-01 09:53:21,MOTION_LIVING,ON
2026-01-01 09:53:51,MOTION_LIVING,ON
2026-01-01 10:00:46,PRESSURE_SOFA,ON
2026-01-01 10:19:28,MOTION_LIVING,ON
2026-01-01 10:22:09,MOTION_LIVING,ON
2026-01-01 10:43:16,MOTION_LIVING,ON
2026-01-01 11:22:51,MOTION_LIVING,ON
2026-01-01 12:07:02,DOOR_FRIDGE,OPEN
2026-01-01 12:16:45,MOTION_KITCHEN,ON
2026-01-01 12:21:36,MOTION_KITCHEN,ON
2026-01-01 12:22:05,MOTION_KITCHEN,ON
2026-01-01 12:27:07,MOTION_KITCHEN,ON
2026-01-01 12:27:18,MOTION_KITCHEN,ON
2026-01-01 12:30:39,MOTION_KITCHEN,ON
2026-01-01 13:19:51,MOTION_LIVING,ON
2026-01-01 13:43:10,MOTION_HALL,ON
2026-01-01 14:11:17,PRESSURE_SOFA,ON
2026-01-01 14:15:24,PRESSURE_SOFA,ON
2026-01-01 14:48:53,PRESSURE_SOFA,ON
2026-01-01 14:54:05,PRESSURE_SOFA,ON
2026-01-01 15:27:42,MOTION_LIVING,ON
2026-01-01 15:30:04,PRESSURE_SOFA,ON
2026-01-01 15:45:35,MOTION_HALL,ON
2026-01-01 15:49:41,MOTION_HALL,ON
2026-01-01 16:45:10,PRESSURE_SOFA,ON
2026-01-01 17:38:56,DOOR_ENTRANCE,OPEN
2026-01-01 18:12:09,MOTION_KITCHEN,ON
2026-01-01 18:21:08,MOTION_KITCHEN,ON
2026-01-01 18:30:13,DOOR_ENTRANCE,OPEN
2026-01-01 18:52:35,MOTION_KITCHEN,ON
2026-01-01 18:55:10,DOOR_FRIDGE,OPEN
2026-01-01 19:10:48,MOTION_KITCHEN,ON
2026-01-01 19:19:08,MOTION_KITCHEN,ON
2026-01-01 19:42:25,MOTION_KITCHEN,ON
2026-01-01 19:46:29,MOTION_KITCHEN,ON
2026-01-01 19:52:37,MOTION_KITCHEN,ON
2026-01-01 20:37:55,MOTION_LIVING,ON
2026-01-01 20:48:43,MOTION_LIVING,ON
2026-01-01 21:15:00,PRESSURE_SOFA,ON
2026-01-01 22:09:24,PRESSURE_SOFA,ON
2026-01-01 22:24:09,MOTION_LIVING,ON
2026-01-01 22:26:18,MOTION_LIVING,ON
2026-01-01 22:34:35,PRESSURE_SOFA,ON
2026-01-01 22:46:48,MOTION_BATH,ON
2026-01-01 22:51:32,PRESSURE_SOFA,ON
2026-01-01 22:53:49,PRESSURE_SOFA,ON
2026-01-01 23:00:34,MOTION_BEDROOM,ON
2026-01-01 23:21:58,PRESSURE_BED,ON
2026-01-02 06:38:59,PRESSURE_BED,ON
2026-01-02 07:01:56,MOTION_BEDROOM,ON
2026-01-02 07:04:15,MOTION_HALL,ON
2026-01-02 07:22:46,MOTION_KITCHEN,ON
2026-01-02 07:27:48,DOOR_FRIDGE,OPEN
2026-01-02 07:27:56,MOTION_KITCHEN,ON
2026-01-02 07:35:52,MOTION_KITCHEN,ON
2026-01-02 07:38:05,MOTION_KITCHEN,ON
2026-01-02 08:07:49,MOTION_KITCHEN,ON
2026-01-02 08:39:08,MOTION_BATH,ON
2026-01-02 09:05:35,MOTION_BATH,ON
2026-01-02 10:06:28,PRESSURE_SOFA,ON
2026-01-02 10:30:42,MOTION_LIVING,ON
2026-01-02 10:38:55,MOTION_LIVING,ON
2026-01-02 11:17:45,MOTION_LIVING,ON
2026-01-02 11:28:28,MOTION_LIVING,ON
2026-01-02 11:32:13,MOTION_LIVING,ON
2026-01-02 11:53:46,MOTION_LIVING,ON
2026-01-02 12:10:37,MOTION_KITCHEN,ON
2026-01-02 12:12:21,MOTION_KITCHEN,ON
2026-01-02 12:17:14,MOTION_KITCHEN,ON
